"Name","Phone","Address","Email","Website","ServiceArea","Instagram","Facebook","Twitter","Linkedin","Youtube","BusinessUrl","Rating","ReviewCount","PriceRange","Longitude","Latitude","Alias","BizId","BusinessSectionUrls_open_hours","BusinessSectionUrls_reviews","Categories_0_title","Categories_0_url","Categories_1_title","Categories_1_url","Categories_2_title","Categories_2_url","FormattedAddress","IsAd","Neighborhoods_0","Open_time","ParentBusiness","Ranking","RenderAdInfo","ServicePricing","Snippet"
"ELM Roofing Contractors","","1485 Bayshore Blvd, Ste 320P, San Francisco, CA, 94124, US","info@elmroofingcontractors.com","https://elmroofingcontractor.com","San Francisco","","","","","","https://www.yelp.com/biz/elm-roofing-contractors-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability","5","8","","-122.4003672","37.7259148","elm-roofing-contractors-san-francisco-3","nMM-d12o5KxFSo3EO06N4g","/biz/elm-roofing-contractors-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/elm-roofing-contractors-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","1485 Bayshore Blvd","false","Bayview-Hunters Point","","","","false","","ELM [[HIGHLIGHT]]Roofing[[ENDHIGHLIGHT]] did an excellent job for our roof project to replace the old roof (over 30 years old.)..."
"Atlas Roofing","","","info@atlasroofingpro.com","https://atlasroofingpro.com/?utm_source=yelp&utm_medium=cpc&utm_campaign=website","Newark","https://www.instagram.com/atlasroofingpro","https://www.facebook.com/people,https://www.facebook.com/Atlas-Roofing-110708197025430","","","","https://www.yelp.com/biz/atlas-roofing-newark-2?osq=Roofing&override_cta=Get+pricing+%26+availability","4.8","45","","-122.030992","37.520373","atlas-roofing-newark-2","mgZsTBre-MQZXBrAMx19_w","/biz/atlas-roofing-newark-2?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/atlas-roofing-newark-2?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","","false","","","","","false","","He assured us that he would get our [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] fixed within a few days."
"SF Pro Roofing","","77 Van Ness Ave, San Francisco, CA, 94102, US","sfproroofingoffice@gmail.com","http://sfproroofing.com","","","https://www.facebook.com/","","","","https://www.yelp.com/biz/sf-pro-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability","5","5","","-122.4199372","37.7760549","sf-pro-roofing-san-francisco","Mi6zN3OQN7yAmaWF8XXyfw","/biz/sf-pro-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/sf-pro-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Siding","/search?find_desc=Siding&find_loc=San+Francisco%2C+CA","Waterproofing","/search?find_desc=Waterproofing&find_loc=San+Francisco%2C+CA","77 Van Ness Ave","false","Civic Center","","","","false","","SF Pro [[HIGHLIGHT]]Roofing[[ENDHIGHLIGHT]] pleasantly surprised us. When my wife had called for an appointment to get an..."
"CFY Construction","","204A School St, Daly City, CA, 94014, US","","https://cfyroofingconstruction.com","Daly City","","","","","","https://www.yelp.com/biz/cfy-construction-daly-city-5?osq=Roofing&override_cta=Get+pricing+%26+availability","4.8","82","","-122.46929517382068","37.69367761209025","cfy-construction-daly-city-5","ME8G_eMCW_KtncWpf2mH_A","/biz/cfy-construction-daly-city-5?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/cfy-construction-daly-city-5?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Gutter Services","/search?find_desc=Gutter+Services&find_loc=San+Francisco%2C+CA","","","204A School St","false","","","","","false","","He spent a lot of time checking things out and told me the entire [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] needed to be replaced."
"Saber Roofing","","2995 Woodside Rd, Ste 400-364, Woodside, CA, 94062, US","","http://www.saberroofing.com","Woodside","","","","","","https://www.yelp.com/biz/saber-roofing-woodside-2?osq=Roofing&override_cta=Get+pricing+%26+availability","4.9","424","","-122.2531358","37.4290093","saber-roofing-woodside-2","3oSfkHifixFYw_Q6xatW_A","/biz/saber-roofing-woodside-2?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/saber-roofing-woodside-2?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Gutter Services","/search?find_desc=Gutter+Services&find_loc=San+Francisco%2C+CA","Waterproofing","/search?find_desc=Waterproofing&find_loc=San+Francisco%2C+CA","2995 Woodside Rd","false","","","","","false","","from the previous roofer's work that would be investigated once the old [[HIGHLIGHT]]roofing[[ENDHIGHLIGHT]] material was removed..."
"Moctezuma Roofing","","6104 Butano Ct, San Jose, CA, 95123, US","hi@moctezumaroofing.com","https://moctezumaroofing.com","San Jose","https://www.instagram.com/moctezumaroofinginc","https://www.facebook.com/moctezumaroofinginc","","","","https://www.yelp.com/biz/moctezuma-roofing-san-jose-3?osq=Roofing&override_cta=Get+pricing+%26+availability","4.9","113","","-121.8471666","37.2376523","moctezuma-roofing-san-jose-3","oOWh-v5tpW9_6jYNqKekxw","/biz/moctezuma-roofing-san-jose-3?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/moctezuma-roofing-san-jose-3?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Solar Installation","/search?find_desc=Solar+Installation&find_loc=San+Francisco%2C+CA","","","6104 Butano Ct","false","Blossom Valley","","","","false","","That's exactly what we got a very high quality [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]], that looks awesome!!"
"Glam Roofing","","2550 Bay Shore Blvd, San Francisco, CA, 94134, US","info@glamconstruction.com","https://roofglam.com","San Francisco","","","","","","https://www.yelp.com/biz/glam-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability","4.7","25","","-122.4050258","37.70992636638721","glam-roofing-san-francisco","jQrtb5JueEM38T2l6SAvaw","/biz/glam-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/glam-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Roof Inspectors","/search?find_desc=Roof+Inspectors&find_loc=San+Francisco%2C+CA","","","2550 Bay Shore Blvd","false","Visitacion Valley","","","","false","","but extremely knowledgeable and skillful guy, please be sure that he will work on your [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]]."
"JRG Roofing","","","","http://www.jrgroofingsf.com","San Francisco","","","","","","https://www.yelp.com/biz/jrg-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability","5","21","","-122.4099154","37.7202042","jrg-roofing-san-francisco","I_8BJLQ1UeQqbJE1vghERA","/biz/jrg-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/jrg-roofing-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","","false","Visitacion Valley","","","","false","","Jose and his crew did an fabulous job applying a bitumen [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] to our house in San Francisco."
"Lovett & Lovett Roofing","","2525 E 10th St, Oakland, CA, 94601, US","info@lovettroofing.net","http://www.lovettroofing.net/","Oakland","","","","","","https://www.yelp.com/biz/lovett-and-lovett-roofing-oakland?osq=Roofing&override_cta=Get+pricing+%26+availability","4.5","162","","-122.2360169","37.7787418","lovett-and-lovett-roofing-oakland","xO8g_opfKUQTq7aYPPLKeQ","/biz/lovett-and-lovett-roofing-oakland?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/lovett-and-lovett-roofing-oakland?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","2525 E 10th St","false","East Oakland","","","","false","","I call on a few [[HIGHLIGHT]]roofing[[ENDHIGHLIGHT]] companies to see if I can get my whole leaking and sagging  roof replace in..."
"All About Roofing Repair & Installation","","2548 Seaboard Ave, San Jose, CA, 95131, US","aaroofingcampbell@gmail.com","https://aaroof.net","San Jose","https://www.instagram.com/all_about_roofing","https://www.facebook.com/allaboutroof777","","","https://www.youtube.com/channel/UCYU4JGCqNn4CbECYVZM97YQ","https://www.yelp.com/biz/all-about-roofing-repair-and-installation-san-jose?osq=Roofing&override_cta=Get+pricing+%26+availability","4.9","137","","-121.93781041349182","37.37783557169","all-about-roofing-repair-and-installation-san-jose","yYrKVyaS8SX2Ef9xdTlLAw","/biz/all-about-roofing-repair-and-installation-san-jose?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/all-about-roofing-repair-and-installation-san-jose?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Roof Inspectors","/search?find_desc=Roof+Inspectors&find_loc=San+Francisco%2C+CA","","","2548 Seaboard Ave","false","North San Jose","","","","false","","We had several bids and All About [[HIGHLIGHT]]Roofing[[ENDHIGHLIGHT]] came out on top for the best value for money on the..."
